,headline,lyrics,singer,word_count,verse_count,chorus_count,lines_in_chorus_count,avg_line_in_verse_count
0,I Saw Her Standing There,one  two  three  four   well  she was just seventeen if you know what i mean and the way she looked was way beyond compare so how could i dance with another when i saw her standing there   well  she looked at me and i  i could see that before too long i'd fall in love with her she wouldn't dance with another when i saw her standing there  well  my heart went boom when i crossed that room and i held her hand in mine  whoa  we danced through the night and we held each other tight and before too long i fell in love with her now  i'll never dance with another when i saw her standing there  well  my heart went boom when i crossed that room and i held her hand in mine  oh  we danced through the night and we held each other tight and before too long i fell in love with her now  i'll never dance with another since i saw her standing there whoa  since i saw her standing there yeah  well  since i saw her standing there,The Beatles,189,5,2,3,5.4
1,Misery,the world is treating me bad misery  i'm the kind of guy who never used to cry the world is treating me bad misery  i've lost her now for sure i won't see her no more it's gonna be a drag misery  i'll remember all the little things we've done can't she see she'll always be the only one  only one  send her back to me 'cause everyone can see without her i will be in misery  i'll remember all the little things we've done she'll remember and she'll miss her only one lonely one  send her back to me 'cause everyone can see without her i will be in misery in misery my misery misery,The Beatles,129,7,0,0,3.85714285714
2,Anna (Go To Him),anna you come and ask me  girl to set you free  girl you say he loves you more than me so i will set you free go with him go with him  anna girl  before you go now i want you to know now that i still love you so but if he loves you more go with him  all of my life i've been searching for a girl to love me like i love you oh  now but every girl i've ever had breaks my heart and leave me sad what am i  what am i supposed to do   anna just one more thing  girl you give back your ring to me and i will set you free go with him  all of my life i've been searching for a girl to love me like i love you but let me tell you now but every girl i've ever had breaks my heart and leave me sad what am i  what am i supposed to do   anna just one more thing  girl you give back your ring to me and i will set you free go with him go with him you can go with him  girl go with him,The Beatles,205,6,0,0,6.66666666667
3,Chains,chains my baby's got me locked up in chains and they ain't the kind that you can see oh oh  these chains of love got a hold on me  yeah  chains well  i can't break away from these chains can't run around 'cause i'm not free oh oh  these chains of love won't let me be  yeah  i wanna tell you  pretty baby i think you're fine i'd like to love you but  darling  i'm imprisoned by these  chains my baby's got me locked up in chains and they ain't the kind that you can see oh oh  these chains of love got a hold on me  yeah  please believe me when i tell you your lips are sweet i'd like to kiss them but i can't break away from all of these  chains my baby's got me locked up in chains and they ain't the kind that you can see oh oh  these chains of love got a hold on me  yeah  chains chains of love chains of love chains of love    ,The Beatles,189,4,3,6,4.75
4,Boys,i've been told when a boy kiss a girl take a trip around the world hey  hey  bop shoo wop  mbop bop shoo wop  hey  hey  bop shoo wop  mbop bop shoo wop  hey  hey  bop shoo wop  mbop bop shoo wop  yeah  she say you do  bop shoo wop   my girl says when i kiss her lips gets a thrill through her fingertips  ow   hey  hey  bop shoo wop  mbop bop shoo wop  hey  hey  bop shoo wop  mbop bop shoo wop  hey  hey  bop shoo wop  mbop bop shoo wop  yeah  she say you do  bop shoo wop   well  i talk about boys  yeah  yeah  boys  don't you know i mean boys   yeah  yeah  boys  well  i talk about boys now  yeah  yeah  boys  ah  boys  yeah  yeah  boys  well  i talk about boys now  yeah  yeah  boys  what a bundle of joy   yeah  yeaaah   whoa   owww  all right  george   ah ha  whoo  waaa   my girl says when i kiss her lips gets a thrill through her fingertips  ow   hey  hey  bop shoo wop  mbop bop shoo wop  hey  hey  bop shoo wop  mbop bop shoo wop  hey  hey  bop shoo wop  mbop bop shoo wop  yeah  she say you do  bop shoo wop   well  i talk about boys  yeah  yeah  boys  don't you know i mean boys   yeah  yeah  boys  well  i talk about boys now  yeah  yeah  boys  ahhhhhhh   yeah  yeah  boys  well  i talk about boys now  yeah  yeah  boys  what a bundle of joy   yeah  yeah  whoa  whoa  ah ha  oh  yaah   boys  yeah  yeah  boys  don't you know i mean boys   yeah  yeah  boys  whoo  boys  yeah  yeah  boys  ahh ha   yeah  yeah  boys  well  i talk about boys now  yeah  yeah  boys ,The Beatles,294,5,2,6,6.0
5,Ask Me Why,i love you 'cause you tell me things i want to know and it's true that it really only goes to show that i know that i should never  never  never be blue  now you're mine my happiness  dear  makes me cry and in time you'll understand the reason why if i cry  it's not because i'm sad but you're the only love that i've ever had  i can't believe it's happened to me i can't conceive of any more  misery  ask me why i'll say i love you and i'm always thinking of you  i love you 'cause you tell me things i want to know and it's true that it really only goes to show that i know that i should never  never  never be blue  ask me why i'll say i love you and i'm always thinking of you  i can't believe it's happened to me i can't conceive of any more  misery  ask me why i'll say i love you and i'm always thinking of you you you,The Beatles,192,2,2,6,5.5
6,Please Please Me,last night i said these words to my girl i know you never even try  girl come on  come on  come on  come on  come on  come on  come on  come on  please please me  whoa  yeah like i please you  you don't need me to show the way  love why do i always have to say  love   come on  come on  come on  come on  come on  come on  come on  come on  please please me  whoa  yeah like i please you  i don't wanna sound complainin' but you know there's always rain in my heart  in my heart  i do all the pleasin' with you  it's so hard to reason with you  whoa yeah why do you make me blue   last night i said these words to my girl i know you never even try  girl come on  come on  come on  come on  come on  come on  come on  come on  please please me  whoa  yeah like i please you  please  me  whoa  yeah like i please you  please  me  whoa  yeah like i please you,The Beatles,186,4,0,0,8.25
7,Love Me Do,love  love me do you know i love you i'll always be true so please  love me do whoa  love me do  love  love me do you know i love you i'll always be true so please  love me do whoa  love me do  someone to love somebody new someone to love someone like you  love  love me do you know i love you i'll always be true so please  love me do whoa  love me do  love  love me do you know i love you i'll always be true so please  love me do whoa  love me do yeah  love me do whoa  love me do yeah  love me do,The Beatles,115,2,3,5,6.0
8,P.S. I Love You,as i write this letter send my love to you remember that i'll always be in love with you  treasure these few words 'til we're together keep all my love forever p s  i love you you  you  you  i'll be coming home again to you  love and 'til the day i do  love p s  i love you you  you  you  as i write this letter send my love to you remember that i'll always be in love with you  treasure these few words 'til we're together keep all my love forever p s  i love you you  you  you  as i write this letter send my love to you  you know i want you to  remember that i'll always be in love with you  i'll be coming home again to you  love and 'til the day i do  love p s  i love you you  you  you you  you  you i love you,The Beatles,162,3,2,5,4.66666666667
9,Baby It's You,sha la la la la la la sha la la la la la la sha la la la la la la  it's not the way you smile that touched my heart it's not the way you kiss that tears me apart many many many nights go by i sit alone at home and cry over you what can i do can't help myself  'cos  baby  it's you baby  it's you  sha la la la la la la    you should hear what they say about you cheat  cheat they say  they say you never never never ever been true  cheat  cheat  it doesn't matter what they say i know i'm gonna love you any old way what can i do  when it's true don't want nobody  nobody  'cos  baby  it's you baby  it's you  sha la la la la la la    it doesn't matter what they say i know i'm gonna love you any old way what can i do  when it's true don't want nobody  nobody  'cos  baby  it's you baby  it's you  sha la la la la la la la   don't leave me all alone come on home,The Beatles,209,5,2,2,4.8
